EngineDisplacementTypeId,LanguageId,Description,DisplayOrder
1,1,Nezinams,1
100,1,0.1,1
200,1,0.2,1
300,1,0.3,1
400,1,0.4,1
500,1,0.5,1
600,1,0.6,1
700,1,0.7,1
800,1,0.8,1
900,1,0.9,1
1000,1,1.0,1
1100,1,1.1,1
1200,1,1.2,1
1300,1,1.3,1
1400,1,1.4,1
1500,1,1.5,1
1600,1,1.6,1
1700,1,1.7,1
1800,1,1.8,1
1900,1,1.9,1
2000,1,2.0,1
2100,1,2.1,1
2200,1,2.2,1
2300,1,2.3,1
2400,1,2.4,1
2500,1,2.5,1
2600,1,2.6,1
2700,1,2.7,1
2800,1,2.8,1
2900,1,2.9,1
3000,1,3.0,1
3100,1,3.1,1
3200,1,3.2,1
3300,1,3.3,1
3400,1,3.4,1
3500,1,3.5,1
3600,1,3.6,1
3700,1,3.7,1
3800,1,3.8,1
3900,1,3.9,1
4000,1,4.0,1
4100,1,4.1,1
4200,1,4.2,1
4300,1,4.3,1
4400,1,4.4,1
4500,1,4.5,1
4600,1,4.6,1
4700,1,4.7,1
4800,1,4.8,1
4900,1,4.9,1
5000,1,5.0,1
5100,1,5.1,1
5200,1,5.2,1
5300,1,5.3,1
5400,1,5.4,1
5500,1,5.5,1
5600,1,5.6,1
5700,1,5.7,1
5800,1,5.8,1
5900,1,5.9,1
6000,1,6.0,1
6100,1,6.1,1
6200,1,6.2,1
6300,1,6.3,1
6400,1,6.4,1
6500,1,6.5,1
6600,1,6.6,1
6700,1,6.7,1
6800,1,6.8,1
6900,1,6.9,1
7000,1,7.0,1
7100,1,7.1,1
7200,1,7.2,1
7300,1,7.3,1
7400,1,7.4,1
7500,1,7.5,1
7600,1,7.6,1
7700,1,7.7,1
7800,1,7.8,1
7900,1,7.9,1
8000,1,8.0,1
8100,1,8.1,1
8200,1,8.2,1
8300,1,8.3,1
8400,1,8.4,1
8500,1,8.5,1
8600,1,8.6,1
8700,1,8.7,1
8800,1,8.8,1
8900,1,8.9,1
9000,1,9.0,1
9100,1,9.1,1
9200,1,9.2,1
9300,1,9.3,1
9400,1,9.4,1
9500,1,9.5,1
9600,1,9.6,1
9700,1,9.7,1
9800,1,9.8,1
9900,1,9.9,1
10000,1,10.0,1
