ModelId,Model,Manufacturer
1,Nezinams,Nezinams
2,116,Bmw
3,118,Bmw
4,120,Bmw
5,135,Bmw
6,216,Bmw
7,218,Bmw
8,220,Bmw
9,225,Bmw
10,228,Bmw
11,316,Bmw
12,318,Bmw
13,320,Bmw
14,323,Bmw
15,324,Bmw
16,325,Bmw
17,328,Bmw
18,330,Bmw
19,335,Bmw
20,340,Bmw
21,420,Bmw
22,425,Bmw
23,430,Bmw
24,435,Bmw
25,520,Bmw
26,523,Bmw
27,525,Bmw
28,528,Bmw
29,530,Bmw
30,535,Bmw
31,540,Bmw
32,545,Bmw
33,550,Bmw
34,630,Bmw
35,635,Bmw
36,640,Bmw
37,645,Bmw
38,650,Bmw
39,725,Bmw
40,728,Bmw
41,730,Bmw
42,732,Bmw
43,735,Bmw
44,740,Bmw
45,745,Bmw
46,750,Bmw
47,760,Bmw
48,840,Bmw
49,850,Bmw
50,M1,Bmw
51,M2,Bmw
52,M3,Bmw
53,M4,Bmw
54,M5,Bmw
55,M6,Bmw
56,Z3,Bmw
57,Z4,Bmw
58,X1,Bmw
59,X2,Bmw
60,X3,Bmw
61,X4,Bmw
62,X5,Bmw
63,X6,Bmw
64,X7,Bmw
65,i3,Bmw
100,Citi,Bmw
101,A1,Audi
102,A2,Audi
103,A3,Audi
104,A4,Audi
105,A5,Audi
106,A6,Audi
107,A7,Audi
108,A8,Audi
109,E-tron,Audi
110,Q2,Audi
111,Q3,Audi
112,Q5,Audi
113,Q7,Audi
114,Q8,Audi
115,RS4,Audi
116,S2,Audi
117,S3,Audi
118,S4,Audi
119,S5,Audi
120,S6,Audi
121,S7,Audi
122,S8,Audi
123,TT,Audi
124,V8,Audi
125,Allroad,Audi
126,Cabrio,Audi
127,Cabriolet,Audi
128,Coupe,Audi
129,Quattro,Audi
130,80,Audi
131,90,Audi
132,100,Audi
133,4000,Audi
200,Citi,Audi
201,Amarok,Volkswagen
202,Arteon,Volkswagen
203,Beetle,Volkswagen
204,Bora,Volkswagen
205,Caddy,Volkswagen
206,Caravelle,Volkswagen
207,Crafter,Volkswagen
208,Eos,Volkswagen
209,Fox,Volkswagen
210,Golf 1,Volkswagen
211,Golf 2,Volkswagen
212,Golf 3,Volkswagen
213,Golf 4,Volkswagen
214,Golf 5,Volkswagen
215,Golf 6,Volkswagen
216,Golf 7,Volkswagen
217,Golf Plus,Volkswagen
218,Golf Sportsvan,Volkswagen
219,Golf Variant,Volkswagen
220,Jetta,Volkswagen
221,Kafer,Volkswagen
222,LT,Volkswagen
223,Lupo,Volkswagen
224,Multivan,Volkswagen
225,Passat (B2),Volkswagen
226,Passat (B3),Volkswagen
227,Passat (B4),Volkswagen
228,Passat (B5),Volkswagen
229,Passat (B6),Volkswagen
230,Passat (B7),Volkswagen
231,Passat (B8),Volkswagen
232,Passat Alltrack,Volkswagen
233,Passat CC,Volkswagen
234,Passat Variant,Volkswagen
235,Phaeton,Volkswagen
236,Polo,Volkswagen
237,Scirocco,Volkswagen
238,Sharan,Volkswagen
239,T-Cross,Volkswagen
240,T-Roc,Volkswagen
241,T2,Volkswagen
242,T3,Volkswagen
243,T4,Volkswagen
244,T5,Volkswagen
245,T6,Volkswagen
246,Taigo,Volkswagen
247,Taro,Volkswagen
248,Tiguan,Volkswagen
249,Touareg,Volkswagen
250,Touran,Volkswagen
251,Transporter,Volkswagen
252,Up!,Volkswagen
253,Vento,Volkswagen
300,Citi,Volkswagen
301,A140,Mercedes
302,A150,Mercedes
303,A160,Mercedes
304,A170,Mercedes
305,A180,Mercedes
306,A200,Mercedes
307,A220,Mercedes
308,B150,Mercedes
309,B160,Mercedes
310,B170,Mercedes
311,B180,Mercedes
312,B200,Mercedes
313,B250,Mercedes
314,C180,Mercedes
315,C200,Mercedes
316,C220,Mercedes
317,C230,Mercedes
318,C250,Mercedes
319,C270,Mercedes
320,C280,Mercedes
321,C320,Mercedes
322,C350,Mercedes
323,C450 AMG,Mercedes
324,CE300,Mercedes
325,CL420,Mercedes
326,CL500,Mercedes
327,CL600,Mercedes
328,CL63 AMG,Mercedes
329,CLA180,Mercedes
330,CLA200,Mercedes
331,CLA220,Mercedes
332,CLA250,Mercedes
333,CLK,Mercedes
334,CLK200,Mercedes
335,CLK220,Mercedes
336,CLK230,Mercedes
337,CLK240,Mercedes
338,CLK270,Mercedes
339,CLK320,Mercedes
340,CLK430,Mercedes
341,CLS250,Mercedes
342,CLS320,Mercedes
343,CLS350,Mercedes
344,CLS400,Mercedes
345,CLS450,Mercedes
346,CLS500,Mercedes
347,E200,Mercedes
348,E220,Mercedes
349,E230,Mercedes
350,E240,Mercedes
351,E250,Mercedes
352,E260,Mercedes
353,E270,Mercedes
354,E280,Mercedes
355,E300,Mercedes
356,E320,Mercedes
357,E350,Mercedes
358,E36 AMG,Mercedes
359,E400,Mercedes
360,E55 AMG,Mercedes
361,G240,Mercedes
362,G300,Mercedes
363,G320,Mercedes
364,G350,Mercedes
365,G400,Mercedes
366,G500,Mercedes
367,G63 AMG,Mercedes
368,GL320,Mercedes
369,GL350,Mercedes
370,GL420,Mercedes
371,GL450,Mercedes
372,GL500,Mercedes
373,GLA200,Mercedes
374,GLA220,Mercedes
375,GLA250,Mercedes
376,GLC 200,Mercedes
377,GLC 220,Mercedes
378,GLC 250,Mercedes
379,GLC 350,Mercedes
380,GLC 43 AMG,Mercedes
381,GLE 250,Mercedes
382,GLE 350,Mercedes
383,GLE 43 AMG,Mercedes
384,GLK 220,Mercedes
385,GLK 250,Mercedes
386,GLK 320,Mercedes
387,GLK 350,Mercedes
388,GLS 350,Mercedes
389,GLS 400,Mercedes
390,GLS 450,Mercedes
391,ML250,Mercedes
392,ML270,Mercedes
393,ML280,Mercedes
394,ML300,Mercedes
395,ML320,Mercedes
396,ML350,Mercedes
397,ML400,Mercedes
398,ML420,Mercedes
399,ML450,Mercedes
400,ML500,Mercedes
401,ML55 AMG,Mercedes
402,ML63 AMG,Mercedes
403,R280,Mercedes
404,R320,Mercedes
405,R350,Mercedes
406,S280,Mercedes
407,S300,Mercedes
408,S320,Mercedes
409,S350,Mercedes
410,S400,Mercedes
411,S420,Mercedes
412,S430,Mercedes
413,S450,Mercedes
414,S500,Mercedes
415,S550,Mercedes
416,S560,Mercedes
417,S600,Mercedes
418,S63 AMG,Mercedes
419,SL300,Mercedes
420,SL500,Mercedes
421,SL55 AMG,Mercedes
422,SLK200,Mercedes
423,SLK230,Mercedes
424,V200,Mercedes
425,V220,Mercedes
426,V230,Mercedes
427,V250,Mercedes
428,V300,Mercedes
429,X250,Mercedes
430,190,Mercedes
431,200,Mercedes
432,220,Mercedes
433,230,Mercedes
434,250,Mercedes
435,260,Mercedes
436,280,Mercedes
437,300,Mercedes
438,380,Mercedes
439,450,Mercedes
440,560,Mercedes
441,Citan,Mercedes
442,Sprinter,Mercedes
443,Vaneo,Mercedes
444,Viano,Mercedes
445,Vito,Mercedes
500,Citi,Mercedes
