ModelId,LanguageId,Description
1,1,Nezinams
2,1,Bmw 116
3,1,Bmw 118
4,1,Bmw 120
5,1,Bmw 135
6,1,Bmw 216
7,1,Bmw 218
8,1,Bmw 220
9,1,Bmw 225
10,1,Bmw 228
11,1,Bmw 316
12,1,Bmw 318
13,1,Bmw 320
14,1,Bmw 323
15,1,Bmw 324
16,1,Bmw 325
17,1,Bmw 328
18,1,Bmw 330
19,1,Bmw 335
20,1,Bmw 340
21,1,Bmw 420
22,1,Bmw 425
23,1,Bmw 430
24,1,Bmw 435
25,1,Bmw 520
26,1,Bmw 523
27,1,Bmw 525
28,1,Bmw 528
29,1,Bmw 530
30,1,Bmw 535
31,1,Bmw 540
32,1,Bmw 545
33,1,Bmw 550
34,1,Bmw 630
35,1,Bmw 635
36,1,Bmw 640
37,1,Bmw 645
38,1,Bmw 650
39,1,Bmw 725
40,1,Bmw 728
41,1,Bmw 730
42,1,Bmw 732
43,1,Bmw 735
44,1,Bmw 740
45,1,Bmw 745
46,1,Bmw 750
47,1,Bmw 760
48,1,Bmw 840
49,1,Bmw 850
50,1,Bmw M1
51,1,Bmw M2
52,1,Bmw M3
53,1,Bmw M4
54,1,Bmw M5
55,1,Bmw M6
56,1,Bmw Z3
57,1,Bmw Z4
58,1,Bmw X1
59,1,Bmw X2
60,1,Bmw X3
61,1,Bmw X4
62,1,Bmw X5
63,1,Bmw X6
64,1,Bmw X7
65,1,Bmw i3
100,1,Bmw Citi
101,1,Audi A1
102,1,Audi A2
103,1,Audi A3
104,1,Audi A4
105,1,Audi A5
106,1,Audi A6
107,1,Audi A7
108,1,Audi A8
109,1,Audi E-tron
110,1,Audi Q2
111,1,Audi Q3
112,1,Audi Q5
113,1,Audi Q7
114,1,Audi Q8
115,1,Audi RS4
116,1,Audi S2
117,1,Audi S3
118,1,Audi S4
119,1,Audi S5
120,1,Audi S6
121,1,Audi S7
122,1,Audi S8
123,1,Audi TT
124,1,Audi V8
125,1,Audi Allroad
126,1,Audi Cabrio
127,1,Audi Cabriolet
128,1,Audi Coupe
129,1,Audi Quattro
130,1,Audi 80
131,1,Audi 90
132,1,Audi 100
133,1,Audi 4000
200,1,Audi Citi
201,1,Volkswagen Amarok
